stop_id;STOP_NAME
RTP:SA:3686905;CHAMP DE MANOEUVRE - TREMBLAY
RTP:SA:3812992;CHAMP DE MARS
RTP:SA:3813048;CHAMP DE MARS - LA BOURDONNAIS
RTP:SA:3741065;CHAMPIONNET
RTP:SA:2025;CHAMPS-ELYSEES-CLEMENCEAU
RTP:SA:3749763;CHAPELLE - CAILLIE
RTP:SA:3749659;CHAPPE
RTP:SA:2026;CHARDON-LAGACHE
RTP:SA:3813097;CHARENTON - JARDINIERS
RTP:SA:3765268;CHARENTON - WATTIGNIES
RTP:SA:3747842;CHARLES BOSSUT
RTP:SA:3749982;CHARLES DE GAULLE - ETOILE
RTP:SA:3740316;CHARLES DE GAULLE - ETOILE - KLEBER
RTP:SA:3813137;CHARLES DE GAULLE - ETOILE - MARCEAU
RTP:SA:2028;CHARLES DE GAULLE-ETOILE
RTP:SA:3811266;CHARLES MICHELS
RTP:SA:2032;CHARONNE
RTP:SA:3687265;CHARONNE - BAGNOLET
RTP:SA:3747932;CHARONNE - CHANZY
RTP:SA:3673592;CHARONNE - KELLER
RTP:SA:3687263;CHARONNE - PHILIPPE AUGUSTE
RTP:SA:3442463;CHATEAU
RTP:SA:3442441;CHATEAU - MAIRIE DU XIV
RTP:SA:4471833;CHATEAU DES RENTIERS
RTP:SA:4010681;CHATEAU LANDON
RTP:SA:5018399;CHATELET - HOTEL DE VILLE
RTP:SA:4010678;CHAUDRON - SAINT MARTIN
RTP:SA:1971;CHAUSSEE D'ANTIN (LA FAYETTE)
RTP:SA:3926177;CHAUVELOT
RTP:SA:3343783;CHEMIN VERT
RTP:SA:3687072;CHEMIN VERT - PARMENTIER
RTP:SA:1974;CHEVALERET
RTP:SA:3749648;CHEVALIER DE LA BARRE
RTP:SA:3748065;CHEVREUL
RTP:SA:4726962;CHOISEUL
RTP:SA:3765260;CHOISY - TOLBIAC
RTP:SA:2034;CHATEAU D'EAU
RTP:SA:2035;CHATEAU DE VINCENNES
RTP:SA:2085;CHATEAU LANDON
RTP:SA:2033;CHATEAU ROUGE
RTP:SA:1166834;CHATELET
RTP:SA:1967;CHATELET-LES HALLES
RTP:SA:3442596;CIMETIERE DE MONTROUGE
RTP:SA:3781504;CITE - PARVIS NOTRE-DAME
RTP:SA:3887755;CITE DE LA MODE ET DU DESIGN
RTP:SA:1975;CITE
RTP:SA:1976;CITE UNIVERSITAIRE
RTP:SA:3893388;CLAUDE REGAUD
RTP:SA:3748064;CLAUDE TILLIER
RTP:SA:3893376;CLISSON
RTP:SA:1977;CLUNY-LA SORBONNE
RTP:SA:3813338;COLETTE BESSON
RTP:SA:3749954;COLISEE
